Scenario,Prediction,Confidence,Ground Truth,Margin,Status,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Network_Manipulation,Network_Manipulation_col,Network_Manipulation_argmax_prob,Program_Anomaly,Program_Anomaly_col,Program_Anomaly_argmax_prob,Physical_Anomaly,Physical_Anomaly_col,Physical_Anomaly_argmax_prob,Deviation_in_Dispatch,Deviation_in_Dispatch_col,Deviation_in_Dispatch_argmax_prob,Deviation_in_Response,Deviation_in_Response_col,Deviation_in_Response_argmax_prob,Execution_Integrity,Execution_Integrity_col,Execution_Integrity_argmax_prob,Root_Causes,Root_Causes_col,Root_Causes_argmax_prob
6,Memory_Corruption,0.750643485,Memory_Corruption,0.61040687,SUCCESS,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,No,1,0.9,No,1,0.9,Yes,7,0.8,No,0,0.95,Compromised,6,0.55,Memory_Corruption,5,0.8
3,Memory_Corruption,0.739934685,Memory_Corruption,0.59119727,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Normal,3,0.55,Memory_Corruption,7,0.75
5,Memory_Corruption,0.7662861899999999,Memory_Corruption,0.6384669799999998,SUCCESS,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,No,3,0.95,No,1,0.9,No,1,0.9,No,8,0.6,Yes,31,0.9,Compromised,5,0.72,Memory_Corruption,5,0.8
4,Memory_Corruption,0.7032902025000001,System_Fault,0.46967156750000005,FAILURE,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,No,1,0.9,Yes,0,0.85,No,0,0.8,No,0,0.95,Compromised,7,0.8,Memory_Corruption,4,0.9
22,Memory_Corruption,0.585859665,Memory_Corruption,0.2888265649999999,SUCCESS,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,Yes,15,0.9,No,0,0.95,Compromised,2,0.72,Memory_Corruption,1,0.75
60,Memory_Corruption,0.664365675,Memory_Corruption,0.392510225,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.6,Yes,9,0.5,Compromised,1,0.72,Memory_Corruption,4,0.9
9,Memory_Corruption,0.76933005,Memory_Corruption,0.6439271,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,3,0.5,Compromised,0,0.82,Memory_Corruption,5,0.8
26,Memory_Corruption,0.57042891,Memory_Corruption,0.25577750999999993,SUCCESS,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.62,Yes,17,0.5,Compromised,0,0.82,Memory_Corruption,1,0.75
73,Memory_Corruption,0.7581265500000001,Memory_Corruption,0.6238301,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,2,0.6,Yes,6,0.5,Compromised,1,0.72,Memory_Corruption,5,0.8
55,Memory_Corruption,0.666118011,Memory_Corruption,0.395983937,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,9,0.62,No,2,0.7,Compromised,2,0.72,Memory_Corruption,4,0.9
45,Memory_Corruption,0.6914211825,Memory_Corruption,0.4461432274999999,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.8,Yes,15,0.85,Compromised,1,0.72,Memory_Corruption,4,0.9
13,Memory_Corruption,0.5038752449999999,Memory_Corruption,0.13130094499999984,FAILURE,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Normal,3,0.55,FDI,3,0.8
70,Memory_Corruption,0.705759519,Memory_Corruption,0.474566573,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,6,0.62,Yes,19,0.7,Compromised,0,0.82,Memory_Corruption,4,0.9
29,Memory_Corruption,0.606914805,FDI,0.32928210499999994,FAILURE,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,2,0.85,No,1,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Compromised,7,0.8,Memory_Corruption,1,0.75
