Scenario #,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Ground Truth
1,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
2,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
3,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
4,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
5,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
6,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
7,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
8,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
9,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
10,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
11,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
12,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
13,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
14,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
15,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
16,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
17,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
18,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
