Scenario,Prediction,Confidence,Ground Truth,Status,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Network_Manipulation,Network_Manipulation_col,Network_Manipulation_argmax_prob,Program_Anomaly,Program_Anomaly_col,Program_Anomaly_argmax_prob,Physical_Anomaly,Physical_Anomaly_col,Physical_Anomaly_argmax_prob,Deviation_in_Dispatch,Deviation_in_Dispatch_col,Deviation_in_Dispatch_argmax_prob,Deviation_in_Response,Deviation_in_Response_col,Deviation_in_Response_argmax_prob,Execution_Integrity,Execution_Integrity_col,Execution_Integrity_argmax_prob,Root_Causes,Root_Causes_col,Root_Causes_argmax_prob
6,Memory_Corruption,0.81345075,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,No,1,0.9,No,1,0.9,Yes,7,0.8,No,0,0.95,Compromised,6,0.7,Memory_Corruption,5,0.9
3,Memory_Corruption,0.7523442499999999,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Normal,3,0.7,Memory_Corruption,7,0.75
5,Memory_Corruption,0.81720325,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,No,3,0.95,No,1,0.9,No,1,0.9,No,8,0.65,Yes,31,0.9,Compromised,5,0.7,Memory_Corruption,5,0.9
4,Memory_Corruption,0.5870688749999999,System_Fault,FAILURE,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,No,1,0.9,Yes,0,0.85,No,0,0.95,No,0,0.95,Compromised,7,0.6,Memory_Corruption,4,0.8
22,Memory_Corruption,0.59886375,Memory_Corruption,SUCCESS,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,Yes,15,0.9,No,0,0.95,Compromised,2,0.7,Memory_Corruption,1,0.65
60,Memory_Corruption,0.593676875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.65,Yes,9,0.5,Compromised,1,0.7,Memory_Corruption,4,0.8
9,Memory_Corruption,0.822595,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,3,0.5,Compromised,0,0.8,Memory_Corruption,5,0.9
26,Memory_Corruption,0.5683525,Memory_Corruption,SUCCESS,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.6,Yes,17,0.5,Compromised,0,0.8,Memory_Corruption,1,0.65
73,Memory_Corruption,0.79761125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,2,0.65,Yes,6,0.5,Compromised,1,0.7,Memory_Corruption,5,0.9
55,Memory_Corruption,0.60250475,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,9,0.6,No,2,0.7,Compromised,2,0.7,Memory_Corruption,4,0.8
