Scenario,Prediction,Confidence,Ground Truth,Status,BP,BP_col,BP_selected_prob,PCWP,PCWP_col,PCWP_selected_prob,HYPOVOLEMIA,HYPOVOLEMIA_col,HYPOVOLEMIA_selected_prob,STROKEVOLUME,STROKEVOLUME_col,STROKEVOLUME_selected_prob,CO,CO_col,CO_selected_prob,LVEDVOLUME,LVEDVOLUME_col,LVEDVOLUME_selected_prob,CVP,CVP_col,CVP_selected_prob
1,No_Hypovolemia,0.6392926885395257,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
2,No_Hypovolemia,0.5289549994712177,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
3,No_Hypovolemia,0.9826411817214258,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
4,Hypovolemia,0.6998047396764598,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
5,No_Hypovolemia,0.9896782539547294,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
6,No_Hypovolemia,0.9786785718332852,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
7,Hypovolemia,0.5789269348867849,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
8,No_Hypovolemia,0.9935842904257182,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
9,No_Hypovolemia,0.9934621690412685,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
10,Hypovolemia,0.6478076850259311,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
11,No_Hypovolemia,0.9918720815156326,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
12,No_Hypovolemia,0.990535619152461,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
13,No_Hypovolemia,0.9934646928735045,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
14,No_Hypovolemia,0.980064335251627,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
15,No_Hypovolemia,0.5123884301477908,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
16,No_Hypovolemia,0.9431528908797214,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
17,No_Hypovolemia,0.9466094814277743,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
18,No_Hypovolemia,0.9940807080331141,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
19,No_Hypovolemia,0.945961833539386,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
20,Hypovolemia,0.6404575863156312,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
21,No_Hypovolemia,0.9934605741682887,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
22,No_Hypovolemia,0.9935932196468279,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
23,Hypovolemia,0.7149934816217223,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
24,No_Hypovolemia,0.5240503808043475,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
25,No_Hypovolemia,0.9935515649887854,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
26,Hypovolemia,0.5852007100185418,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
27,No_Hypovolemia,0.9711732658766203,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
28,No_Hypovolemia,0.9896982262963222,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
29,No_Hypovolemia,0.989762465253034,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
30,No_Hypovolemia,0.9870893888418861,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
31,No_Hypovolemia,0.9842004153347093,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
